ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer,
1,"「右を　むく」を　２かい\nすると　どっちを　むく？",前,右,左,うしろ,D,
2,"「１ぽ　すすむ」を　３かい\nくりかえすと　ぜんぶで？",１ぽ,３ぽ,６ぽ,０ぽ,B,
3,"「まえに　すすむ」の\nはんたいの　うごきは？",右へ,左へ,うしろへ,とぶ,C,
4,"くつを　はく　ただしい\nじゅんばん　は？",くつ→靴下,靴下→くつ,同時,どちらでも,B,
5,"「もし　かべなら　とまる」\nかべが　ないときは？",とまる,すすむ,さけぶ,ねる,B,
6,"「３かい　てを　たたく」\nこれを　２かい　すると？",２かい,３かい,５かい,６かい,D,
7,"「右、右、左、右、右」\n次は　なにが　くる？",前,右,左,上,C,
8,"ロボットに　「１びょう\nまて」と　いうと？",とまる,はしる,こわれる,きえる,A,
9,"「もし　赤信号なら」\nどうするのが　せいかい？",すすむ,とまる,はしる,おどる,B,
10,"めいろで　行き止まり\nどうすれば　いい？",なく,こわす,もどる,ねる,C,
11,"はこの中身が「１」です\n「１」たすと　いくつ？",１,２,３,０,B,
12,"「ずっと　右に　まわる」\nどういう　うごき？",四角,三角,ぐるぐる,ジグザグ,C,
13,"ケーキを　やくのに\nひつような　じゅんばんは？",焼く→混ぜる,食べる→焼く,混ぜる→焼く,全部逆,C,
14,"「音を　ならす」めいれい\n音が　ならないりゆうは？",電池切れ,色が違う,夜だから,晴れだから,A,
15,「ジャンプ」のあとに\n「しゃがむ」をすると？,とぶ→さがる,さがる→とぶ,どうじ,なにもしない,A,
16,"「１０歩すすむ」より\nとおくまで　いくのは？",５歩,１歩,１００歩,０歩,C,
17,"ＡはＢより　おおきい\nＢはＣより　おおきい",Ａが１番,Ｂが１番,Ｃが１番,おなじ,A,
18,"はこの中身が「３」です\n１を　たすと？",２,３,４,１,C,
19,"画面の　ネコを　消したい\nどの　めいれい？",表示する,隠す,大きく,回す,B,
20,"「ペンを　おろす」\nそのあと　うごくと？",線が引ける,色が消える,音が鳴る,何も起きない,A,
21,"「ペンを　あげる」\nそのあと　うごくと？",線が引ける,線はない,止まる,回る,B,
22,"「もし　雨なら　傘」\n「でなければ　帽子」",晴れなら？,傘,帽子,長靴,何もしない,B
23,"「右に90度」は\nとけいの　なんじ？",１２じ,３じ,６じ,９じ,B,
24,"「左に90度」は\nとけいの　なんじ？",１２じ,３じ,６じ,９じ,D,
25,"「ずっと　くりかえす」\nとめるには　どうする？",見てる,さけぶ,停止ボタン,手で押さえる,C,
26,"ロボットが　ぶつかった\nなおすのは　どこ？",色,形,プログラム,名前,C,
27,「音量：０」にすると\nどうなる？,うるさい,ふつう,きこえない,ひかる,C,
28,「明るさ：０」にすると\nどうなる？,まっくら,まぶしい,あかい,あおい,A,
29,"「１秒待つ」と「５秒待つ」\nながいのは　どっち？",１秒,５秒,おなじ,わからない,B,
30,"「りんご」と　いわれたら\n「ばなな」と　いう",みかんは？,いう,いわない,なく,わらう,B
31,"「歩く」と「喋る」を\nどうじに　やると？",歩くだけ,喋るだけ,歩き喋る,止まる,C,
32,"サイコロの　目は\n１から　いくつまで？",３,６,１０,１００,B,
33,"「下」の　はんたいは\nどれかな？",右,左,上,前,C,
34,"スタートボタンを　おすと\nどうなる？",はじまる,おわる,きえる,ねる,A,
35,"ゲームオーバーに　なったら\nどうなる　はず？",つづく,おわる,かち,増える,B,
36,"「５より　大きい」かずは\nどれかな？",１,３,５,１０,D,
37,"「５より　小さい」かずは\nどれかな？",１,５,８,１０,A,
38,"「A と B」りょうほうが\n○のとき　けっかは？",○,×,△,？,A,
39,"「A または B」どっちかが\n○のとき　けっかは？",○,×,△,？,A,
40,めいれいブロックが\nはずれていると？,うごく,うごかない,はやい,おそい,B,
41,"「赤・青・赤・青」\nつぎは　なあに？",黄,赤,青,黒,B,
42,"本を　３さつ　つみました\n２さつ　とると　のこりは？",１さつ,２さつ,３さつ,０,A,
43,"「右へ１、上へ１」\nもとの　ばしょから？",右へずれる,上へずれる,ななめ移動,うごかない,C,
44,"「赤なら　止まれ」\n「青なら　進め」",青です。,止まる,進む,戻る,寝る,B
45,"「小さい　じゅん」に\nならんでいるのは？",１・２・３,３・２・１,２・１・３,１・３・２,A,
46,"「大きい　じゅん」に\nならんでいるのは？",１・２・３,３・２・１,２・１・３,１・３・２,B,
47,"電気が　ついています\nスイッチを　おすと？",つく,きえる,ひかる,かわらない,B,
48,体力が１０です。１歩で\n１へります。１０歩いくと？,１０,５,１,０,D,
49,"目の前に　岩があります\n「前に進む」と　どうなる？",すすめる,ぶつかる,とびこえる,すりぬける,B,
50,"ゴールまで　あと１歩です\nなにを　すればいい？",１歩さがる,１歩すすむ,回る,止まる,B,
