ID,QuestionText,CorrectAnswer
7301,"""// int初期値\nint[] a = new int[1];\n// a[0]は(****)""","""0"""
7302,"""// boolean初期値\nboolean[] b = new boolean[1];\n// b[0]は(****)""","""false"""
7303,"""// String初期値\nString[] s = new String[1];\n// s[0]は(****)""","""null"""
7304,"""// double初期値\ndouble[] d = new double[1];\n// d[0]は0.(****)""","""0"""
7305,"""// 文字列化\nString s = Arrays.(****)(arr);""","""toString"""
7306,"""// 等価比較\nboolean b = Arrays.(****)(a1■ a2);""","""equals"""
7307,"""// ソート\nArrays.(****)(arr);""","""sort"""
7308,"""// 参照代入\nint[] a = {1};\nint[] b = (****); // bもaを指す""","""a"""
7309,"""// null例外\n(****)PointerException""","""Null"""
7310,"""// final変更\nfinal int[] a = {1};\na[0] = (****); // 変更""","""99"""
7311,"""// 参照比較\nif (a (****) b)""","""=="""
7312,"""// キャスト\nint[] a = new int[1];\na[0] = (****) 3.5;""","""(int)"""
7313,"""// char初期値\n// 数値の(****)と同じ""","""0"""
7314,"""// コピー\nint[] b = Arrays.(****)(a■ a.length);""","""copyOf"""
7315,"""// 埋める\nArrays.(****)(arr■ 0);""","""fill"""
7316,"""// String配列\nObject[] o = new (****)[3];""","""String"""
7317,"""// 実体作成\nint[] a = (****) int[3];""","""new"""
7318,"""// 型変換不可\n// int[] a = (****) new double[3];""","""(int[])"""
7319,"""// 推論\n(****) a = new int[]{1};""","""var"""
7320,"""// リテラル\nint[] a = { (****) }; // 整数""","""10"""
