10001,メモリーカード,1,1,30,SupportItem,正常なデータが入った記憶媒体（HP30回復）
10002,SDカード,2,1,50,SupportItem,正常なデータが入った記憶媒体、容量が多い（HP50回復）
10003,USBメモリ,3,1,70,SupportItem,正常なデータが入った記憶媒体、無くす心配が減った（HP70回復）
10004,外付けHDD,4,1,100,SupportItem,正常なデータが入った記憶媒体、安心と信頼の大容量（HP100回復）
10005,外付けSSD,5,1,150,SupportItem,正常なデータが入った記憶媒体、このデータはDNAに素早く届く（HP150回復）
10006,メモ,1,2,3,SupportItem,誰かが残したメモ、デバッグのヒントが書かれているかも？（次の戦闘でAtk+3）
10007,ノート,2,2,5,SupportItem,誰かが残したノート、ちょっと字が汚い（次の戦闘でAtk+5）
10008,教科書,3,2,8,SupportItem,Javaの教科書。いざとなったら振り返ろう（次の戦闘でAtk+8）
10009,問題集,4,2,12,SupportItem,Javaの問題集と回答、代表例があるとわかりやすい（次の戦闘でAtk+12）
10010,リファレンス,5,2,20,SupportItem,Javaのリファレンスが書かれている、流石にこれは勝った（次の戦闘でAtk+20）
10011,デバッグ用コード,1,3,3,SupportItem,間違った挙動を検出できる。危険にしっかり備えよう（次の戦闘でDef+3）
10012,セキュリティソフト,2,3,5,SupportItem,あると安心感を与えてくれる。勿論効果も保証済み（次の戦闘でDef+5）
10013,VPN,3,3,8,SupportItem,安全な通信方法。軽率なアクセスは控えよう（次の戦闘でDef+8）
10014,統合開発環境,4,3,12,SupportItem,間違ったコードを教えてくれる。実行までお手のもの（次の戦闘でDef+12）
10015,バックアップデータ,5,3,20,SupportItem,困ったらこれ。最強のケア手段（次の戦闘でDef+20）
